t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	-0.00016028	0	-0.0879	-30	0
0.04	-0.00092285	0	-0.0879	-30	0
0.05	-0.0011727	0	-0.0879	-30	0
0.06	-0.0012546	0	-0.0879	-30	0
0.07	-0.0012814	0	-0.0879	-30	0
0.08	-0.0012902	0	-0.0879	-30	0
0.09	-0.0012931	0	-0.0879	-30	0
0.1	0.0012926	0.015114	-0.0879	-30	0
0.11	0.00082228	0.026923	-0.0879	-30	0
0.12	0.00043759	0.033896	-0.0879	-30	0
0.13	0.00012317	0.038013	-0.0879	-30	0
0.14	0.0025587	0.052355	-0.0879	-30	0
0.15	0.0018599	0.066911	-0.0879	-30	0
0.16	0.0043246	0.075506	-0.0879	-30	0
0.17	0.0033064	0.09858	-0.0879	-30	0
0.18	0.0024735	0.1122	-0.0879	-30	0
0.19	0.0052093	0.13536	0	-29.891	0
0.2	0.0044957	0.15192	0	-29.891	0
0.21	0.0064519	0.17361	0	-29.891	0
0.22	0.0053115	0.19251	0	-29.891	0
0.23	0.0072801	0.20806	0	-29.891	0
0.24	0.0061307	0.23084	0.0879	-29.782	0
0.25	0.0086235	0.25265	0.0879	-29.782	0
0.26	0.0074878	0.27517	0.0879	-29.782	0
0.27	0.0092396	0.29682	0.0879	-29.782	0
0.28	0.011698	0.31925	0.1758	-29.782	0
0.29	0.010296	0.3505	0.1758	-29.673	0
0.3	0.01191	0.37334	0.1758	-29.673	0
0.31	0.010978	0.40043	0.2637	-29.564	0
0.32	0.012923	0.42083	0.2637	-29.564	0
0.33	0.015008	0.44647	0.3516	-29.564	0
0.34	0.013639	0.47961	0.3516	-29.456	0
0.35	0.01589	0.50358	0.4395	-29.456	0
0.36	0.014538	0.53133	0.4395	-29.347	0
0.37	0.016621	0.55963	0.5274	-29.347	0
0.38	0.018173	0.59078	0.5274	-29.238	0
0.39	0.017257	0.61882	0.6153	-29.129	0
0.4	0.018765	0.64729	0.6153	-29.129	0
0.41	0.020655	0.68209	0.7032	-29.02	0
0.42	0.022284	0.70873	0.7911	-28.911	0
0.43	0.021043	0.74246	0.7911	-28.911	0
0.44	0.02297	0.77073	0.879	-28.802	0
0.45	0.025053	0.79707	0.9669	-28.693	0
0.46	0.023731	0.83062	0.9669	-28.584	0
0.47	0.025775	0.85878	1.0548	-28.584	0
0.48	0.02763	0.88946	1.1427	-28.475	0
0.49	0.026294	0.92117	1.1427	-28.366	0
0.5	0.028233	0.95181	1.2306	-28.258	0
0.51	0.030329	0.98434	1.3185	-28.149	0
0.52	0.032016	1.0132	1.4064	-28.04	0
0.53	0.030727	1.0482	1.4064	-27.931	0
0.54	0.03273	1.0773	1.4943	-27.822	0
0.55	0.034141	1.1085	1.4943	-27.713	0
0.56	0.03297	1.1405	1.5822	-27.604	0
0.57	0.034724	1.1745	1.6701	-27.495	0
0.58	0.036112	1.2094	1.6701	-27.277	0
0.59	0.038126	1.2361	1.758	-27.169	0
0.6	0.036664	1.2698	1.8459	-27.06	0
0.61	0.038431	1.3017	1.9338	-26.951	0
0.62	0.040376	1.331	1.9338	-26.842	0
0.63	0.039276	1.3619	2.0217	-26.624	0
0.64	0.041102	1.392	2.1096	-26.515	0
0.65	0.042759	1.4242	2.1096	-26.406	0
0.66	0.044686	1.4529	2.1975	-26.297	0
0.67	0.043072	1.4879	2.2854	-26.08	0
0.68	0.044846	1.5204	2.2854	-25.971	0
0.69	0.043544	1.5457	2.3733	-25.862	0
0.7	0.045215	1.5758	2.3733	-25.644	0
0.71	0.047166	1.6048	2.4612	-25.535	0
0.72	0.048574	1.6359	2.4612	-25.317	0
0.73	0.047412	1.6679	2.5491	-25.208	0
0.74	0.049323	1.7019	2.637	-25.099	0
0.75	0.051008	1.7293	2.7249	-24.882	0
0.76	0.049855	1.759	2.7249	-24.773	0
0.77	0.051648	1.785	2.8128	-24.555	0
0.78	0.053496	1.8099	2.8128	-24.446	0
0.79	0.052014	1.8427	2.9007	-24.228	0
0.8	0.053785	1.8703	2.9007	-24.119	0
0.81	0.055583	1.9007	2.9886	-23.902	0
0.82	0.054054	1.9323	2.9886	-23.793	0
0.83	0.0559	1.9592	3.0765	-23.575	0
0.84	0.054543	1.9848	3.0765	-23.466	0
0.85	0.056322	2.015	3.1644	-23.248	0
0.86	0.058164	2.0358	3.1644	-23.139	0
0.87	0.056939	2.066	3.2523	-22.922	0
0.88	0.058791	2.0882	3.2523	-22.813	0
0.89	0.057693	2.115	3.3402	-22.595	0
0.9	0.059423	2.1427	3.3402	-22.377	0
0.91	0.061092	2.1735	3.3402	-22.268	0
0.92	0.059349	2.2013	3.4281	-22.05	0
0.93	0.061126	2.2261	3.4281	-21.941	0
0.94	0.059903	2.2504	3.516	-21.724	0
0.95	0.061804	2.2766	3.516	-21.506	0
0.96	0.060502	2.2982	3.6039	-21.397	0
0.97	0.062655	2.3229	3.6039	-21.179	0
0.98	0.064235	2.3479	3.6039	-21.07	0
0.99	0.06331	2.3763	3.6918	-20.852	0
1	0.064836	2.405	3.6918	-20.744	0
1.01	0.063942	2.428	3.7797	-20.526	0
1.02	0.065656	2.4535	3.7797	-20.308	0
1.03	0.064159	2.4747	3.7797	-20.199	0
1.04	0.065947	2.4991	3.8676	-19.981	0
1.05	0.064991	2.5195	3.8676	-19.872	0
1.06	0.066492	2.5468	3.8676	-19.654	0
1.07	0.065748	2.5657	3.9555	-19.437	0
1.08	0.067608	2.5888	3.9555	-19.328	0
1.09	0.066238	2.6086	3.9555	-19.11	0
1.1	0.068131	2.6321	4.0434	-19.001	0
1.11	0.067263	2.6521	4.0434	-18.783	0
1.12	0.06894	2.6758	4.0434	-18.674	0
1.13	0.071388	2.6959	4.1313	-18.457	0
1.14	0.069957	2.7258	4.1313	-18.239	0
1.15	0.071661	2.7434	4.1313	-18.13	0
1.16	0.070354	2.7718	4.2192	-17.912	0
1.17	0.072599	2.7886	4.2192	-17.803	0
1.18	0.071097	2.8165	4.2192	-17.585	0
1.19	0.06977	2.833	4.2192	-17.477	0
1.2	0.071809	2.8578	4.3071	-17.259	0
1.21	0.070905	2.8754	4.3071	-17.15	0
1.22	0.072616	2.8977	4.3071	-16.932	0
