t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0	0	0	-30	0
0.04	0	0	0	-30	0
0.05	0	0	0	-30	0
0.06	0	0	0	-30	0
0.07	0	0	0	-30	0
0.08	0	0	0	-30	0
0.09	0.026144	0.01191	0	-30	0
0.1	0.021489	0.025031	0	-30	0
0.11	0.017661	0.032778	0	-30	0
0.12	0.01452	0.037353	0	-30	0
0.13	0.039134	0.048405	0	-30	0
0.14	0.032191	0.064579	0	-30	0
0.15	0.026489	0.074129	0	-30	0
0.16	0.049004	0.088119	0	-30	0
0.17	0.040341	0.10603	0	-30	0
0.18	0.033232	0.1166	0	-30	0
0.19	0.052548	0.13796	0	-30	0
0.2	0.072705	0.15346	0	-30	0
0.21	0.059906	0.1806	0	-29.891	0
0.22	0.049401	0.19663	0	-29.891	0
0.23	0.065934	0.22122	0	-29.891	0
0.24	0.054416	0.23861	0	-29.891	0
0.25	0.070119	0.264	0	-29.891	0
0.26	0.057922	0.28188	0	-29.782	0
0.27	0.073072	0.30754	0	-29.782	0
0.28	0.052423	0.32559	0.0879	-29.782	0
0.29	0.073951	0.34815	0.0879	-29.782	0
0.3	0.062705	0.36756	0.0879	-29.673	0
0.31	0.077708	0.39414	0.0879	-29.673	0
0.32	0.087984	0.41711	0.1758	-29.673	0
0.33	0.075827	0.44428	0.1758	-29.564	0
0.34	0.084919	0.46867	0.2637	-29.564	0
0.35	0.074411	0.49272	0.2637	-29.456	0
0.36	0.083562	0.52204	0.3516	-29.456	0
0.37	0.086243	0.55414	0.4395	-29.347	0
0.38	0.079768	0.57919	0.4395	-29.347	0
0.39	0.090595	0.60589	0.5274	-29.238	0
0.4	0.098639	0.63609	0.6153	-29.129	0
0.41	0.075262	0.66357	0.7032	-29.129	0
0.42	0.084316	0.69491	0.7911	-29.02	0
0.43	0.10883	0.7207	0.7911	-28.911	0
0.44	0.089556	0.74953	0.879	-28.911	0
0.45	0.10033	0.7749	0.9669	-28.802	0
0.46	0.083041	0.79953	1.0548	-28.693	0
0.47	0.09441	0.82919	1.1427	-28.584	0
0.48	0.10826	0.84959	1.2306	-28.475	0
0.49	0.078999	0.87963	1.4064	-28.366	0
0.5	0.091183	0.91249	1.4943	-28.258	0
0.51	0.10426	0.94668	1.5822	-28.149	0
0.52	0.11899	0.97296	1.6701	-28.149	0
0.53	0.10336	1.0065	1.758	-27.931	0
0.54	0.10568	1.0346	1.9338	-27.822	0
0.55	0.087517	1.0609	2.0217	-27.713	0
0.56	0.10282	1.0915	2.1096	-27.604	0
0.57	0.11918	1.1125	2.1975	-27.495	0
0.58	0.09035	1.1428	2.3733	-27.386	0
0.59	0.10921	1.1691	2.4612	-27.277	0
0.6	0.11096	1.1943	2.637	-27.169	0
0.61	0.09677	1.2272	2.7249	-26.951	0
0.62	0.11278	1.2617	2.8128	-26.842	0
0.63	0.12776	1.2893	2.9007	-26.733	0
0.64	0.098648	1.3193	3.0765	-26.624	0
0.65	0.11889	1.3453	3.1644	-26.406	0
0.66	0.092886	1.3703	3.3402	-26.297	0
0.67	0.11218	1.397	3.4281	-26.189	0
0.68	0.10018	1.4189	3.516	-25.971	0
0.69	0.10214	1.4469	3.6918	-25.862	0
0.7	0.12213	1.4707	3.7797	-25.753	0
0.71	0.1088	1.4984	3.8676	-25.535	0
0.72	0.11287	1.5191	4.0434	-25.426	0
0.73	0.10109	1.5449	4.1313	-25.317	0
0.74	0.11752	1.5646	4.2192	-25.099	0
0.75	0.10738	1.5898	4.3071	-24.882	0
0.76	0.11449	1.6091	4.4829	-24.773	0
0.77	0.1016	1.6341	4.5708	-24.664	0
0.78	0.11919	1.6572	4.6587	-24.446	0
0.79	0.10684	1.6805	4.7466	-24.337	0
0.8	0.11234	1.6986	4.9224	-24.119	0
0.81	0.099243	1.7229	5.0103	-24.011	0
0.82	0.11757	1.7456	5.0982	-23.793	0
0.83	0.10612	1.7687	5.1861	-23.684	0
0.84	0.12252	1.7823	5.274	-23.466	0
0.85	0.1125	1.8084	5.3619	-23.248	0
0.86	0.10063	1.8237	5.4498	-23.139	0
0.87	0.11425	1.8412	5.5377	-22.922	0
0.88	0.10411	1.8611	5.6256	-22.813	0
0.89	0.11796	1.8812	5.7135	-22.595	0
0.9	0.10762	1.9028	5.8014	-22.486	0
0.91	0.093998	1.9155	5.8893	-22.268	0
0.92	0.10889	1.9313	5.9772	-22.159	0
0.93	0.095878	1.9503	6.0651	-21.941	0
0.94	0.1153	1.9616	6.153	-21.724	0
0.95	0.115	1.9862	6.153	-21.615	0
0.96	0.10025	2.0007	6.2409	-21.397	0
0.97	0.11381	2.0137	6.3288	-21.288	0
0.98	0.099876	2.035	6.4167	-21.07	0
0.99	0.10236	2.0475	6.4167	-20.852	0
1	0.11956	2.055	6.5046	-20.744	0
1.01	0.11461	2.0773	6.5046	-20.526	0
1.02	0.099058	2.0905	6.5925	-20.417	0
1.03	0.097472	2.0983	6.5925	-20.199	0
1.04	0.11388	2.1113	6.6804	-20.09	0
1.05	0.10893	2.1286	6.6804	-19.872	0
1.06	0.094267	2.1388	6.7683	-19.654	0
1.07	0.12198	2.1492	6.7683	-19.546	0
1.08	0.1054	2.169	6.8562	-19.328	0
1.09	0.10309	2.1807	6.8562	-19.219	0
1.1	0.098043	2.1876	6.8562	-19.001	0
1.11	0.11515	2.2	6.9441	-18.892	0
1.12	0.10944	2.217	6.9441	-18.674	0
1.13	0.094832	2.227	7.032	-18.566	0
1.14	0.08933	2.2329	7.032	-18.348	0
1.15	0.089577	2.2364	7.032	-18.239	0
1.16	0.11222	2.2536	7.032	-18.021	0
1.17	0.10481	2.2666	7.032	-17.803	0
1.18	0.09845	2.2743	7.032	-17.694	0
1.19	0.09315	2.2789	7.032	-17.477	0
1.2	0.11597	2.2899	7.032	-17.368	0
1.21	0.097425	2.306	7.1199	-17.259	0
1.22	0.11051	2.3156	7.032	-17.041	0
1.23	0.091939	2.3212	7.1199	-16.932	0
1.24	0.089739	2.3246	7.1199	-16.714	0
1.25	0.11394	2.3349	7.1199	-16.605	0
1.26	0.11428	2.3506	7.032	-16.388	0
1.27	0.097191	2.3599	7.1199	-16.279	0
