t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0	0	0	-30	0
0.04	0	0	0	-30	0
0.05	0	0	0	-30	0
0.06	0	0	0	-30	0
0.07	0.0050849	0	-0.0879	-30	0
0.08	0.011302	0.015114	-0.0879	-30	0
0.09	-0.00015308	0.026923	0	-30	0
0.1	0.0040155	0.033896	0	-30	0
0.11	0.0046457	0.038013	0	-29.891	0
0.12	0.015654	0.044839	0	-29.891	0
0.13	0.012968	0.062473	0	-29.891	0
0.14	0.010672	0.072886	0	-29.891	0
0.15	0.020629	0.079034	0	-29.891	0
0.16	0.016909	0.10066	0	-29.891	0
0.17	0.013861	0.11343	0	-29.891	0
0.18	0.022323	0.12933	0	-29.891	0
0.19	0.018301	0.14836	0	-29.891	0
0.2	0.015011	0.1596	0	-29.891	0
0.21	0.011828	0.18135	0.0879	-29.891	0
0.22	0.015409	0.19707	0.0879	-29.782	0
0.23	0.025135	0.21827	0.0879	-29.782	0
0.24	0.03231	0.24522	0.0879	-29.782	0
0.25	0.016224	0.27079	0.1758	-29.782	0
0.26	0.019225	0.28588	0.1758	-29.782	0
0.27	0.028023	0.30991	0.1758	-29.782	0
0.28	0.033996	0.3421	0.1758	-29.673	0
0.29	0.023289	0.36399	0.2637	-29.673	0
0.3	0.032985	0.38882	0.2637	-29.673	0
0.31	0.03523	0.40958	0.3516	-29.564	0
0.32	0.032631	0.43983	0.3516	-29.564	0
0.33	0.032809	0.46604	0.4395	-29.564	0
0.34	0.031533	0.49117	0.4395	-29.456	0
0.35	0.033319	0.51792	0.5274	-29.456	0
0.36	0.029431	0.54419	0.6153	-29.347	0
0.37	0.026642	0.57331	0.7032	-29.238	0
0.38	0.026286	0.60242	0.7911	-29.238	0
0.39	0.031836	0.62569	0.7911	-29.129	0
0.4	0.029862	0.65455	0.879	-29.129	0
0.41	0.042576	0.68959	0.879	-29.02	0
0.42	0.044814	0.71755	0.9669	-28.911	0
0.43	0.035346	0.74767	1.0548	-28.911	0
0.44	0.037621	0.77737	1.1427	-28.802	0
0.45	0.037146	0.80099	1.2306	-28.693	0
0.46	0.041389	0.83293	1.2306	-28.693	0
0.47	0.030884	0.86371	1.4064	-28.584	0
0.48	0.049784	0.89236	1.4064	-28.475	0
0.49	0.040105	0.92289	1.4943	-28.366	0
0.5	0.042226	0.95282	1.5822	-28.258	0
0.51	0.048069	0.98098	1.6701	-28.149	0
0.52	0.037046	1.0112	1.758	-28.04	0
0.53	0.040123	1.0442	1.8459	-27.931	0
0.54	0.046494	1.0749	1.9338	-27.822	0
0.55	0.048328	1.1026	1.9338	-27.713	0
0.56	0.039927	1.131	2.1096	-27.604	0
0.57	0.042854	1.1621	2.1975	-27.495	0
0.58	0.060064	1.1946	2.1975	-27.386	0
0.59	0.049542	1.2273	2.2854	-27.277	0
0.6	0.052959	1.2586	2.3733	-27.169	0
0.61	0.057221	1.2875	2.4612	-26.951	0
0.62	0.047786	1.3182	2.5491	-26.842	0
0.63	0.051667	1.3482	2.637	-26.733	0
0.64	0.054369	1.3721	2.7249	-26.624	0
0.65	0.04324	1.4041	2.8128	-26.406	0
0.66	0.047011	1.4314	2.9007	-26.297	0
0.67	0.053308	1.4572	2.9007	-26.189	0
0.68	0.056748	1.4875	2.9886	-26.08	0
0.69	0.060178	1.5127	3.0765	-25.862	0
0.7	0.0627	1.5411	3.1644	-25.753	0
0.71	0.049135	1.576	3.2523	-25.644	0
0.72	0.065901	1.6009	3.2523	-25.426	0
0.73	0.057152	1.6292	3.3402	-25.317	0
0.74	0.061124	1.6611	3.4281	-25.208	0
0.75	0.049166	1.6828	3.516	-24.991	0
0.76	0.063047	1.7107	3.516	-24.882	0
0.77	0.051101	1.7345	3.6918	-24.664	0
0.78	0.059146	1.7621	3.6918	-24.555	0
0.79	0.058529	1.7868	3.7797	-24.337	0
0.8	0.060898	1.811	3.7797	-24.228	0
0.81	0.062293	1.8372	3.8676	-24.011	0
0.82	0.04821	1.8588	3.9555	-23.902	0
0.83	0.064853	1.8834	3.9555	-23.684	0
0.84	0.057263	1.904	4.0434	-23.575	0
0.85	0.056785	1.9313	4.1313	-23.357	0
0.86	0.071936	1.9503	4.1313	-23.248	0
0.87	0.061391	1.9796	4.2192	-23.03	0
0.88	0.073357	1.9968	4.2192	-22.922	0
0.89	0.061885	2.025	4.3071	-22.704	0
0.9	0.05974	2.046	4.395	-22.595	0
0.91	0.064407	2.0721	4.395	-22.377	0
0.92	0.061108	2.0874	4.4829	-22.159	0
0.93	0.065248	2.1145	4.4829	-22.05	0
0.94	0.064635	2.1305	4.5708	-21.832	0
0.95	0.066847	2.1579	4.5708	-21.724	0
0.96	0.062328	2.1785	4.6587	-21.506	0
0.97	0.066341	2.2043	4.6587	-21.397	0
0.98	0.051063	2.2195	4.7466	-21.179	0
0.99	0.067512	2.2436	4.7466	-20.961	0
1	0.052213	2.2607	4.8345	-20.852	0
1.01	0.069028	2.2827	4.8345	-20.635	0
1.02	0.067045	2.3018	4.8345	-20.526	0
1.03	0.080642	2.3175	4.8345	-20.308	0
1.04	0.063239	2.3403	4.9224	-20.199	0
1.05	0.075425	2.3538	4.9224	-19.981	0
1.06	0.060483	2.3798	5.0103	-19.763	0
1.07	0.06375	2.3951	5.0103	-19.654	0
1.08	0.072959	2.4161	5.0103	-19.437	0
1.09	0.06867	2.4346	5.0103	-19.328	0
1.1	0.065083	2.4538	5.0982	-19.11	0
1.11	0.067355	2.4748	5.0982	-18.892	0
1.12	0.06544	2.4873	5.0982	-18.783	0
1.13	0.074043	2.499	5.0982	-18.566	0
1.14	0.058678	2.5195	5.1861	-18.457	0
1.15	0.062267	2.5316	5.1861	-18.239	0
1.16	0.071547	2.5539	5.1861	-18.13	0
1.17	0.067799	2.5699	5.1861	-17.912	0
1.18	0.075734	2.5838	5.1861	-17.803	0
1.19	0.06417	2.6056	5.274	-17.585	0
1.2	0.064884	2.6184	5.274	-17.477	0
1.21	0.074026	2.6344	5.274	-17.259	0
1.22	0.069775	2.6535	5.274	-17.15	0
1.23	0.066042	2.6647	5.274	-16.932	0
1.24	0.073864	2.6797	5.274	-16.823	0
1.25	0.069292	2.6982	5.274	-16.605	0
