t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0	0	0	-30	0
0.03	0.0070938	0	-0.0879	-30	0
0.04	0.001891	0	-0.0879	-30	0
0.05	0.00018612	0	-0.0879	-30	0
0.06	-0.00037252	0	-0.0879	-30	0
0.07	0.017478	0.004395	-0.0879	-30	0
0.08	0.014178	0.020593	-0.0879	-30	0
0.09	0.011496	0.030158	-0.0879	-30	0
0.1	0.0093087	0.035806	-0.0879	-30	0
0.11	0.0075213	0.039141	-0.0879	-30	0
0.12	0.022075	0.056225	-0.0879	-30	0
0.13	0.018002	0.069196	-0.0879	-30	0
0.14	0.014666	0.076856	-0.0879	-30	0
0.15	0.029271	0.089729	-0.0879	-30	0
0.16	0.023924	0.10698	-0.0879	-30	0
0.17	0.019544	0.11716	-0.0879	-29.891	0
0.18	0.032622	0.13509	-0.0879	-29.891	0
0.19	0.026697	0.15176	-0.0879	-29.891	0
0.2	0.038508	0.17352	-0.0879	-29.891	0
0.21	0.031545	0.19245	-0.0879	-29.891	0
0.22	0.044607	0.20363	-0.0879	-29.891	0
0.23	0.036577	0.22823	-0.0879	-29.891	0
0.24	0.03	0.24275	-0.0879	-29.782	0
0.25	0.040635	0.26645	-0.0879	-29.782	0
0.26	0.02433	0.28332	0	-29.782	0
0.27	0.041541	0.30519	0	-29.782	0
0.28	0.051824	0.33931	0	-29.673	0
0.29	0.04321	0.36234	0	-29.673	0
0.3	0.052479	0.38785	0	-29.673	0
0.31	0.03902	0.409	0.0879	-29.564	0
0.32	0.050841	0.43661	0.0879	-29.564	0
0.33	0.048779	0.46414	0.1758	-29.564	0
0.34	0.046752	0.49005	0.1758	-29.456	0
0.35	0.046142	0.51725	0.2637	-29.456	0
0.36	0.063914	0.53941	0.2637	-29.347	0
0.37	0.048208	0.57049	0.3516	-29.347	0
0.38	0.062241	0.59719	0.3516	-29.238	0
0.39	0.049093	0.6226	0.4395	-29.129	0
0.4	0.048766	0.65272	0.5274	-29.129	0
0.41	0.066093	0.67779	0.5274	-29.02	0
0.42	0.067382	0.70619	0.6153	-28.911	0
0.43	0.062089	0.74096	0.6153	-28.911	0
0.44	0.067093	0.76985	0.7032	-28.802	0
0.45	0.052446	0.79655	0.7911	-28.693	0
0.46	0.056427	0.82743	0.879	-28.584	0
0.47	0.062689	0.8569	0.9669	-28.475	0
0.48	0.060165	0.88395	0.9669	-28.366	0
0.49	0.064636	0.91183	1.0548	-28.366	0
0.5	0.067179	0.94273	1.1427	-28.258	0
0.51	0.076538	0.97063	1.2306	-28.149	0
0.52	0.061127	1.0051	1.3185	-28.04	0
0.53	0.070162	1.0374	1.4064	-27.931	0
0.54	0.075075	1.0625	1.4943	-27.822	0
0.55	0.061792	1.0953	1.5822	-27.713	0
0.56	0.066381	1.1231	1.6701	-27.604	0
0.57	0.072321	1.1535	1.758	-27.386	0
0.58	0.0785	1.1851	1.8459	-27.277	0
0.59	0.076542	1.2217	1.8459	-27.169	0
0.6	0.082777	1.2477	1.9338	-27.06	0
0.61	0.070508	1.2767	2.0217	-26.951	0
0.62	0.077414	1.3057	2.1096	-26.842	0
0.63	0.072692	1.329	2.2854	-26.624	0
0.64	0.073897	1.3607	2.2854	-26.515	0
0.65	0.068403	1.3878	2.4612	-26.406	0
0.66	0.088611	1.4178	2.4612	-26.189	0
0.67	0.074843	1.4491	2.5491	-26.08	0
0.68	0.07963	1.4795	2.637	-25.971	0
0.69	0.088381	1.5036	2.7249	-25.753	0
0.7	0.074971	1.5358	2.8128	-25.644	0
0.71	0.080136	1.5631	2.9007	-25.535	0
0.72	0.070274	1.5889	2.9886	-25.317	0
0.73	0.07648	1.6161	3.0765	-25.208	0
0.74	0.082161	1.6382	3.1644	-24.991	0
0.75	0.072064	1.6693	3.2523	-24.882	0
0.76	0.090265	1.692	3.2523	-24.664	0
0.77	0.07788	1.719	3.3402	-24.555	0
0.78	0.084758	1.7433	3.4281	-24.337	0
0.79	0.07408	1.7673	3.516	-24.228	0
0.8	0.078927	1.7934	3.6039	-24.011	0
0.81	0.086952	1.8149	3.6918	-23.902	0
0.82	0.084537	1.8456	3.6918	-23.684	0
0.83	0.091733	1.8681	3.7797	-23.575	0
0.84	0.0779	1.895	3.8676	-23.357	0
0.85	0.087254	1.9192	3.9555	-23.248	0
0.86	0.07404	1.9432	4.0434	-23.03	0
0.87	0.090675	1.9693	4.0434	-22.922	0
0.88	0.077912	1.9907	4.1313	-22.704	0
0.89	0.080681	2.0118	4.2192	-22.595	0
0.9	0.071629	2.0338	4.3071	-22.377	0
0.91	0.090644	2.0552	4.3071	-22.159	0
0.92	0.079839	2.0775	4.395	-22.05	0
0.93	0.084598	2.099	4.4829	-21.832	0
0.94	0.082945	2.1213	4.4829	-21.724	0
0.95	0.089489	2.1429	4.5708	-21.506	0
0.96	0.084976	2.1652	4.5708	-21.288	0
0.97	0.09255	2.1828	4.6587	-21.179	0
0.98	0.086806	2.2068	4.6587	-20.961	0
0.99	0.075899	2.221	4.7466	-20.852	0
1	0.077782	2.2445	4.8345	-20.635	0
1.01	0.079005	2.2612	4.8345	-20.526	0
1.02	0.079987	2.2863	4.9224	-20.308	0
1.03	0.080806	2.3039	4.9224	-20.09	0
1.04	0.094332	2.3227	4.9224	-19.981	0
1.05	0.081093	2.3434	5.0103	-19.763	0
1.06	0.096514	2.36	5.0103	-19.654	0
1.07	0.083396	2.3835	5.0982	-19.437	0
1.08	0.08064	2.3973	5.0982	-19.219	0
1.09	0.081326	2.4174	5.1861	-19.11	0
1.1	0.082015	2.4353	5.1861	-18.892	0
1.11	0.078348	2.4459	5.1861	-18.783	0
1.12	0.089981	2.4673	5.1861	-18.566	0
1.13	0.075976	2.4828	5.274	-18.457	0
1.14	0.094138	2.4919	5.274	-18.239	0
1.15	0.087683	2.5154	5.274	-18.13	0
1.16	0.081545	2.5292	5.274	-17.912	0
1.17	0.086487	2.5457	5.3619	-17.803	0
1.18	0.089698	2.5651	5.274	-17.585	0
1.19	0.076735	2.5765	5.3619	-17.477	0
1.2	0.090843	2.5952	5.3619	-17.259	0
1.21	0.084524	2.6123	5.3619	-17.15	0
1.22	0.09698	2.6268	5.3619	-16.932	0
