t	u	lambda	p	e
0	0	0	0	-30
0.01	0	0	0	-30
0.02	0	0	0	-30
0.03	0	0	0	-30
0.04	0	0	0	-30
0.05	0	0	0	-30
0.06	0	0	-0.0879	-30
0.07	0	0	-0.0879	-29.891
0.08	0	0.015114	-0.0879	-29.891
0.09	0	0.026923	-0.0879	-29.891
0.1	0	0.033896	-0.0879	-29.891
0.11	0	0.038013	-0.0879	-29.891
0.12	0	0.040444	-0.0879	-29.891
0.13	0	0.059878	-0.0879	-29.891
0.14	0	0.071353	-0.0879	-29.891
0.15	0	0.078129	-0.0879	-29.891
0.16	0	0.08213	-0.0879	-29.891
0.17	0	0.10249	-0.0879	-29.891
0.18	0	0.11451	-0.0879	-29.891
0.19	0	0.12996	-0.0879	-29.891
0.2	0	0.14873	-0.0879	-29.891
0.21	0	0.15982	-0.0879	-29.891
0.22	0	0.18436	0	-29.782
0.23	0	0.19885	0	-29.782
0.24	0	0.21576	0	-29.782
0.25	0	0.23539	0	-29.782
0.26	0	0.24698	0	-29.782
0.27	0	0.27183	0	-29.782
0.28	0	0.2865	0	-29.782
0.29	0	0.30351	0	-29.673
0.3	0	0.3232	0	-29.673
0.31	0	0.33923	0	-29.673
0.32	0	0.36229	0.0879	-29.564
0.33	0	0.38782	0.0879	-29.564
0.34	0	0.40898	0.1758	-29.564
0.35	0	0.42983	0.1758	-29.564
0.36	0	0.45179	0.1758	-29.456
0.37	0	0.4731	0.2637	-29.456
0.38	0	0.49534	0.2637	-29.347
0.39	0	0.51682	0.2637	-29.347
0.4	0	0.53915	0.3516	-29.347
0.41	0	0.56425	0.3516	-29.238
0.42	0	0.58515	0.3516	-29.238
0.43	0	0.61261	0.4395	-29.129
0.44	0	0.63171	0.4395	-29.129
0.45	0	0.6549	0.5274	-29.02
0.46	0	0.67468	0.5274	-29.02
0.47	0	0.70147	0.6153	-28.911
0.48	0	0.72018	0.6153	-28.802
0.49	0	0.74313	0.7032	-28.802
0.5	0	0.76278	0.7032	-28.693
0.51	0	0.78949	0.7911	-28.693
0.52	0	0.81254	0.7911	-28.584
0.53	0	0.83976	0.879	-28.475
