t	u	lambda	p	e
0.54	0	0.86418	0.879	-28.475
0.55	0	0.88825	0.9669	-28.366
0.56	0	0.92046	0.9669	-28.258
0.57	0	0.94387	1.0548	-28.149
0.58	0	0.9713	1.0548	-28.149
0.59	0	0.99189	1.0548	-28.04
0.6	0	1.0177	1.1427	-27.931
0.61	0	1.0412	1.1427	-27.822
0.62	0	1.0648	1.2306	-27.713
0.63	0	1.0906	1.2306	-27.713
0.64	0	1.1119	1.3185	-27.604
0.65	0	1.1364	1.3185	-27.495
0.66	0	1.157	1.4064	-27.386
0.67	0	1.1843	1.4064	-27.277
0.68	0	1.2032	1.4064	-27.169
0.69	0	1.2324	1.4943	-27.06
0.7	0	1.258	1.4943	-26.951
0.71	0	1.2828	1.5822	-26.842
0.72	0	1.3154	1.5822	-26.733
0.73	0	1.3347	1.5822	-26.624
0.74	0	1.364	1.5822	-26.515
0.75	0	1.3858	1.6701	-26.406
0.76	0	1.4122	1.6701	-26.297
0.77	0	1.4362	1.6701	-26.189
0.78	0	1.46	1.6701	-26.08
0.79	0	1.4784	1.758	-25.971
0.8	0	1.5029	1.758	-25.862
0.81	0	1.5218	1.758	-25.753
0.82	0	1.5465	1.758	-25.644
0.83	0	1.5655	1.8459	-25.535
0.84	0	1.5904	1.8459	-25.317
0.85	0	1.6094	1.8459	-25.208
0.86	0	1.6343	1.8459	-25.099
0.87	0	1.6533	1.8459	-24.991
0.88	0	1.6782	1.8459	-24.882
0.89	0	1.6973	1.8459	-24.773
0.9	0	1.7221	1.8459	-24.664
0.91	0	1.7412	1.9338	-24.446
0.92	0	1.7661	1.8459	-24.337
0.93	0	1.7852	1.9338	-24.228
0.94	0	1.81	1.8459	-24.119
0.95	0	1.8247	1.9338	-24.011
0.96	0	1.8514	1.8459	-23.902
0.97	0	1.8715	1.9338	-23.684
0.98	0	1.897	1.8459	-23.575
0.99	0	1.9204	1.8459	-23.466
1	0	1.9439	1.8459	-23.357
1.01	0	1.9578	1.8459	-23.248
1.02	0	1.9839	1.8459	-23.03
1.03	0	1.9994	1.8459	-22.922
1.04	0	2.0265	1.8459	-22.813
1.05	0	2.0426	1.8459	-22.704
1.06	0	2.0671	1.8459	-22.595
1.07	0	2.0845	1.8459	-22.377
1.08	0	2.1067	1.758	-22.268
1.09	0	2.1259	1.758	-22.159
1.1	0	2.1416	1.758	-22.05
1.11	0	2.1645	1.758	-21.941
1.12	0	2.178	1.758	-21.832
1.13	0	2.2011	1.758	-21.615
1.14	0	2.2176	1.6701	-21.506
1.15	0	2.2357	1.6701	-21.397
1.16	0	2.2561	1.6701	-21.288
1.17	0	2.2681	1.6701	-21.179
1.18	0	2.2932	1.6701	-20.961
1.19	0	2.308	1.6701	-20.852
1.2	0	2.3286	1.5822	-20.744
1.21	0	2.3469	1.5822	-20.635
1.22	0	2.3621	1.5822	-20.526
1.23	0	2.3847	1.5822	-20.417
1.24	0	2.398	1.4943	-20.308
1.25	0	2.421	1.4943	-20.09
1.26	0	2.4375	1.4943	-19.981
1.27	0	2.4555	1.4943	-19.872
1.28	0	2.4759	1.4064	-19.763
1.29	0	2.4879	1.4064	-19.654
1.3	0	2.51	1.4064	-19.546
1.31	0	2.526	1.4064	-19.328
1.32	0	2.5399	1.3185	-19.219
1.33	0	2.5617	1.3185	-19.11
1.34	0	2.5745	1.3185	-19.001
1.35	0	2.5821	1.3185	-18.892
1.36	0	2.6017	1.2306	-18.783
1.37	0	2.6162	1.2306	-18.674
1.38	0	2.6291	1.2306	-18.566
1.39	0	2.6503	1.2306	-18.457
1.4	0	2.6629	1.1427	-18.348
1.41	0	2.6822	1.2306	-18.239
1.42	0	2.6997	1.1427	-18.13
1.43	0	2.71	1.1427	-18.021
1.44	0	2.7341	1.0548	-17.912
1.45	0	2.7483	1.0548	-17.694
1.46	0	2.7651	1.0548	-17.585
1.47	0	2.7846	1.0548	-17.585
1.48	0	2.7962	1.0548	-17.368
1.49	0	2.821	1.0548	-17.368
1.5	0	2.8356	0.9669	-17.15
1.51	0	2.8487	0.9669	-17.15
1.52	0	2.87	0.9669	-17.041
1.53	0	2.8826	0.9669	-16.932
1.54	0	2.9019	0.879	-16.823
1.55	0	2.9194	0.879	-16.714
1.56	0	2.9297	0.879	-16.605
1.57	0	2.9538	0.879	-16.496
1.58	0	2.9681	0.879	-16.388
1.59	0	2.9848	0.879	-16.279
1.6	0	3.0044	0.7911	-16.17
1.61	0	3.0159	0.879	-16.061
1.62	0	3.0378	0.7911	-16.061
1.63	0	3.0537	0.7911	-15.952
1.64	0	3.0674	0.7911	-15.843
1.65	0	3.0891	0.7911	-15.734
1.66	0	3.102	0.7911	-15.625
1.67	0	3.1214	0.7911	-15.516
1.68	0	3.139	0.7911	-15.407
1.69	0	3.1494	0.7911	-15.407
1.7	0	3.1736	0.7032	-15.299
1.71	0	3.1878	0.7911	-15.19
1.72	0	3.2046	0.7032	-15.081
1.73	0	3.2241	0.7032	-14.972
1.74	0	3.2357	0.7032	-14.972
1.75	0	3.2576	0.7032	-14.863
1.76	0	3.2734	0.7032	-14.754
1.77	0	3.2872	0.7032	-14.754
1.78	0	3.3089	0.7032	-14.645
1.79	0	3.3217	0.7032	-14.536
1.8	0	3.3412	0.7032	-14.536
1.81	0	3.3588	0.7032	-14.427
1.82	0	3.3736	0.7032	-14.318
1.83	0	3.3959	0.7911	-14.21
1.84	0	3.4091	0.7911	-14.21
1.85	0	3.432	0.7911	-14.101
1.86	0	3.4484	0.7911	-14.101
1.87	0	3.4581	0.7911	-13.992
1.88	0	3.4682	0.7911	-13.883
1.89	0	3.4878	0.7911	-13.883
1.9	0	3.5037	0.7911	-13.774
1.91	0	3.5268	0.7911	-13.774
1.92	0	3.5403	0.7911	-13.665
1.93	0	3.5567	0.879	-13.556
1.94	0	3.576	0.879	-13.556
1.95	0	3.5875	0.879	-13.447
1.96	0	3.6093	0.879	-13.447
1.97	0	3.6251	0.879	-13.338
1.98	0	3.6463	0.9669	-13.338
1.99	0	3.6649	0.879	-13.229
2	0	3.6843	0.9669	-13.229
2.01	0	3.7054	0.9669	-13.12
2.02	0	3.7178	0.9669	-13.12
2.03	0	3.7403	0.9669	-13.012
2.04	0	3.7564	1.0548	-13.012
2.05	0	3.7779	1.0548	-12.903
2.06	0	3.7966	1.0548	-12.903
2.07	0	3.816	1.0548	-12.903
2.08	0	3.8372	1.0548	-12.794
2.09	0	3.854	1.0548	-12.794
2.1	0	3.8776	1.1427	-12.685
2.11	0	3.8915	1.1427	-12.685
2.12	0	3.9148	1.1427	-12.576
2.13	0	3.9315	1.1427	-12.576
2.14	0	3.9497	1.1427	-12.576
2.15	0	3.9701	1.2306	-12.467
2.16	0	3.9865	1.2306	-12.467
2.17	0	4.0098	1.2306	-12.467
2.18	0	4.0236	1.2306	-12.358
2.19	0	4.0497	1.2306	-12.358
2.2	0	4.0651	1.2306	-12.358
2.21	0	4.0861	1.3185	-12.249
2.22	0	4.1046	1.3185	-12.249
2.23	0	4.1199	1.3185	-12.249
2.24	0	4.1426	1.3185	-12.14
2.25	0	4.156	1.3185	-12.14
2.26	0	4.1819	1.4064	-12.14
2.27	0	4.1972	1.4064	-12.14
2.28	0	4.2242	1.4064	-12.032
2.29	0	4.2401	1.4064	-12.032
2.3	0	4.2647	1.4064	-12.032
2.31	0	4.282	1.4943	-12.032
2.32	0	4.3074	1.4943	-11.923
2.33	0	4.3253	1.4943	-11.923
2.34	0	4.3477	1.4943	-11.923
2.35	0	4.3671	1.4943	-11.923
2.36	0	4.3904	1.5822	-11.814
2.37	0	4.4103	1.5822	-11.814
2.38	0	4.4304	1.5822	-11.814
2.39	0	4.4519	1.5822	-11.814
2.4	0	4.4765	1.5822	-11.705
2.41	0	4.4971	1.5822	-11.705
2.42	0	4.5137	1.6701	-11.705
2.43	0	4.5371	1.6701	-11.705
2.44	0	4.5509	1.6701	-11.705
2.45	0	4.577	1.6701	-11.596
2.46	0	4.5925	1.6701	-11.596
2.47	0	4.6167	1.6701	-11.596
2.48	0	4.6339	1.6701	-11.596
2.49	0	4.6621	1.758	-11.596
2.5	0	4.6787	1.758	-11.487
2.51	0	4.7065	1.758	-11.487
2.52	0	4.7229	1.758	-11.487
2.53	0	4.7506	1.758	-11.487
2.54	0	4.767	1.758	-11.487
2.55	0	4.7946	1.758	-11.487
2.56	0	4.8153	1.758	-11.487
2.57	0	4.8412	1.758	-11.378
2.58	0	4.8608	1.8459	-11.378
2.59	0	4.8861	1.758	-11.378
2.6	0	4.9093	1.8459	-11.378
2.61	0	4.9327	1.8459	-11.378
2.62	0	4.9548	1.8459	-11.378
2.63	0	4.9775	1.8459	-11.269
2.64	0	5.0029	1.8459	-11.269
2.65	0	5.0239	1.8459	-11.269
2.66	0	5.0482	1.8459	-11.269
2.67	0	5.0687	1.8459	-11.269
2.68	0	5.0959	1.8459	-11.269
2.69	0	5.1148	1.8459	-11.269
2.7	0	5.144	1.8459	-11.269
2.71	0	5.1656	1.8459	-11.16
2.72	0	5.192	1.8459	-11.16
2.73	0	5.2076	1.8459	-11.16
2.74	0	5.2348	1.8459	-11.16
2.75	0	5.2552	1.8459	-11.16
2.76	0	5.2809	1.8459	-11.16
2.77	0	5.3044	1.8459	-11.16
2.78	0	5.328	1.8459	-11.051
2.79	0	5.3538	1.8459	-11.051
2.8	0	5.3751	1.8459	-11.051
2.81	0	5.396	1.8459	-11.051
2.82	0	5.4181	1.8459	-11.051
2.83	0	5.443	1.8459	-11.051
2.84	0	5.4638	1.8459	-11.051
2.85	0	5.4912	1.8459	-11.051
2.86	0	5.5102	1.8459	-10.942
2.87	0	5.5395	1.8459	-10.942
2.88	0	5.5611	1.9338	-10.942
2.89	0	5.5875	1.8459	-10.942
2.9	0	5.6115	1.9338	-10.942
2.91	0	5.6353	1.8459	-10.942
2.92	0	5.6644	1.8459	-10.942
2.93	0	5.6845	1.9338	-10.834
2.94	0	5.7144	1.9338	-10.834
2.95	0	5.732	1.9338	-10.834
2.96	0	5.7604	1.9338	-10.834
2.97	0	5.7856	1.9338	-10.834
2.98	0	5.81	1.9338	-10.834
2.99	0	5.8329	1.9338	-10.834
3	0	5.856	1.9338	-10.725
3.01	0	5.8815	1.9338	-10.725
3.02	0	5.9027	1.9338	-10.725
3.03	0	5.9303	1.9338	-10.725
3.04	0	5.9539	2.0217	-10.725
3.05	0	5.9815	1.9338	-10.725
3.06	0	6.0061	2.0217	-10.616
3.07	0	6.0302	2.0217	-10.616
3.08	0	6.0596	2.0217	-10.616
3.09	0	6.0799	2.0217	-10.616
3.1	0	6.1098	2.0217	-10.616
3.11	0	6.1319	2.0217	-10.616
3.12	0	6.1585	2.0217	-10.616
3.13	0	6.1862	2.1096	-10.507
3.14	0	6.2086	2.1096	-10.507
3.15	0	6.2337	2.1096	-10.507
3.16	0	6.2547	2.1096	-10.507
3.17	0	6.2821	2.1096	-10.398
3.18	0	6.3056	2.1096	-10.398
3.19	0	6.3331	2.1096	-10.398
3.2	0	6.3577	2.1096	-10.398
3.21	0	6.3819	2.1975	-10.398
3.22	0	6.408	2.1096	-10.398
3.23	0	6.4296	2.1975	-10.289
3.24	0	6.4542	2.1975	-10.289
3.25	0	6.4748	2.1975	-10.289
3.26	0	6.505	2.1975	-10.289
3.27	0	6.5272	2.1975	-10.18
3.28	0	6.554	2.1975	-10.18
3.29	0	6.5781	2.2854	-10.18
3.3	0	6.602	2.1975	-10.18
3.31	0	6.628	2.2854	-10.18
3.32	0	6.6495	2.2854	-10.071
3.33	0	6.6772	2.2854	-10.071
3.34	0	6.6965	2.2854	-10.071
3.35	0	6.7259	2.2854	-10.071
3.36	0	6.7516	2.2854	-9.9624
3.37	0	6.7765	2.2854	-9.9624
3.38	0	6.803	2.2854	-9.9624
3.39	0	6.8248	2.2854	-9.9624
3.4	0	6.8557	2.2854	-9.8535
3.41	0	6.8783	2.2854	-9.8535
3.42	0	6.9052	2.2854	-9.8535
3.43	0	6.9295	2.2854	-9.8535
3.44	0	6.9535	2.2854	-9.7446
3.45	0	6.976	2.2854	-9.7446
3.46	0	6.9989	2.2854	-9.7446
3.47	0	7.0276	2.2854	-9.7446
3.48	0	7.0474	2.2854	-9.6357
3.49	0	7.0771	2.2854	-9.6357
3.5	0	7.099	2.2854	-9.6357
3.51	0	7.1256	2.2854	-9.6357
3.52	0	7.1496	2.2854	-9.5268
3.53	0	7.1734	2.2854	-9.5268
3.54	0	7.2026	2.2854	-9.5268
3.55	0	7.2227	2.2854	-9.5268
3.56	0	7.2497	2.2854	-9.4179
3.57	0	7.2686	2.2854	-9.4179
3.58	0	7.2977	2.2854	-9.4179
3.59	0	7.3193	2.2854	-9.4179
3.6	0	7.3456	2.2854	-9.309
3.61	0	7.3695	2.2854	-9.309
3.62	0	7.3933	2.2854	-9.309
3.63	0	7.4224	2.2854	-9.2001
3.64	0	7.4425	2.2854	-9.2001
3.65	0	7.4724	2.2854	-9.2001
3.66	0	7.4944	2.2854	-9.2001
3.67	0	7.521	2.2854	-9.0912
3.68	0	7.5487	2.2854	-9.0912
3.69	0	7.5711	2.2854	-9.0912
3.7	0	7.5994	2.2854	-8.9823
3.71	0	7.619	2.2854	-8.9823
3.72	0	7.6486	2.2854	-8.9823
3.73	0	7.6661	2.2854	-8.9823
3.74	0	7.6944	2.2854	-8.8734
3.75	0	7.7155	2.2854	-8.8734
3.76	0	7.7416	2.2854	-8.8734
3.77	0	7.7689	2.2854	-8.7645
3.78	0	7.7911	2.2854	-8.7645
3.79	0	7.8193	2.2854	-8.7645
3.8	0	7.8389	2.2854	-8.6556
3.81	0	7.8655	2.2854	-8.6556
3.82	0	7.8841	2.2854	-8.6556
3.83	0	7.9131	2.2854	-8.6556
3.84	0	7.9347	2.2854	-8.5467
3.85	0	7.961	2.2854	-8.5467
3.86	0	7.9848	2.2854	-8.5467
3.87	0	8.0086	2.2854	-8.4378
3.88	0	8.0345	2.2854	-8.4378
3.89	0	8.0559	2.1975	-8.4378
3.9	0	8.0837	2.1975	-8.4378
3.91	0	8.103	2.2854	-8.3289
3.92	0	8.1323	2.1975	-8.3289
3.93	0	8.158	2.1975	-8.3289
3.94	0	8.1829	2.1975	-8.22
3.95	0	8.2059	2.1975	-8.22
3.96	0	8.2291	2.1975	-8.22
3.97	0	8.2547	2.1975	-8.1111
3.98	0	8.2759	2.1975	-8.1111
3.99	0	8.3036	2.1975	-8.1111
4	0	8.3228	2.1975	-8.1111
4.01	0	8.3521	2.1975	-8.0022
4.02	0	8.3739	2.1975	-8.0022
4.03	0	8.4003	2.1975	-8.0022
4.04	0	8.4278	2.1975	-8.0022
4.05	0	8.4501	2.1975	-7.8933
4.06	0	8.4752	2.1975	-7.8933
4.07	0	8.4962	2.1096	-7.7844
4.08	0	8.5236	2.1975	-7.7844
4.09	0	8.5471	2.1975	-7.7844
4.1	0	8.5746	2.1096	-7.7844
4.11	0	8.5992	2.1975	-7.7844
4.12	0	8.6233	2.1096	-7.7844
4.13	0	8.6459	2.1096	-7.6755
4.14	0	8.6689	2.1096	-7.5666
4.15	0	8.6976	2.1096	-7.5666
4.16	0	8.7219	2.1096	-7.5666
4.17	0	8.7498	2.1096	-7.5666
4.18	0	8.7746	2.1975	-7.5666
4.19	0	8.7989	2.1096	-7.4577
4.2	0	8.8252	2.1096	-7.4577
4.21	0	8.8468	2.1096	-7.4577
4.22	0	8.8746	2.1096	-7.4577
4.23	0	8.894	2.1096	-7.3488
4.24	0	8.9234	2.1096	-7.3488
4.25	0	8.9491	2.1975	-7.3488
4.26	0	8.9739	2.1975	-7.2399
4.27	0	9.0037	2.1975	-7.2399
4.28	0	9.0242	2.1975	-7.2399
4.29	0	9.0543	2.1975	-7.2399
4.3	0	9.0804	2.1975	-7.131
4.31	0	9.1055	2.1975	-7.131
4.32	0	9.1286	2.1975	-7.131
4.33	0	9.1519	2.1975	-7.0221
4.34	0	9.1776	2.1975	-7.0221
4.35	0	9.1989	2.2854	-7.0221
4.36	0	9.2294	2.2854	-7.0221
4.37	0	9.2518	2.2854	-7.0221
4.38	0	9.2787	2.2854	-6.9132
4.39	0	9.3029	2.2854	-6.9132
4.4	0	9.3268	2.2854	-6.9132
4.41	0	9.3529	2.2854	-6.8043
4.42	0	9.3743	2.2854	-6.8043
4.43	0	9.4021	2.3733	-6.6954
4.44	0	9.4258	2.3733	-6.6954
4.45	0	9.4534	2.3733	-6.6954
4.46	0	9.4781	2.3733	-6.6954
4.47	0	9.5023	2.3733	-6.6954
4.48	0	9.5285	2.3733	-6.6954
4.49	0	9.55	2.3733	-6.6954
4.5	0	9.5779	2.4612	-6.5865
4.51	0	9.5972	2.4612	-6.5865
4.52	0	9.6266	2.4612	-6.5865
4.53	0	9.6559	2.4612	-6.4776
4.54	0	9.6792	2.4612	-6.4776
4.55	0	9.7082	2.5491	-6.3687
4.56	0	9.7281	2.5491	-6.3687
4.57	0	9.7579	2.5491	-6.3687
4.58	0	9.7755	2.5491	-6.3687
4.59	0	9.8039	2.5491	-6.2598
4.6	0	9.825	2.5491	-6.2598
4.61	0	9.8511	2.637	-6.2598
4.62	0	9.8749	2.637	-6.2598
4.63	0	9.8986	2.637	-6.2598
4.64	0	9.9245	2.637	-6.2598
4.65	0	9.9458	2.637	-6.1509
4.66	0	9.9736	2.637	-6.1509
4.67	0	9.9928	2.637	-6.042
4.68	0	10.022	2.7249	-6.042
4.69	0	10.044	2.7249	-6.042
4.7	0	10.07	2.7249	-6.042
4.71	0	10.094	2.7249	-5.9331
4.72	0	10.118	2.7249	-5.9331
4.73	0	10.144	2.7249	-5.9331
4.74	0	10.166	2.7249	-5.9331
4.75	0	10.196	2.7249	-5.9331
4.76	0.0094028	10.219	2.7249	-5.8242
4.77	0.018806	10.246	2.7249	-5.8242
4.78	0.028208	10.266	2.8128	-5.8242
4.79	0.037611	10.291	2.8128	-5.8242
4.8	0.047014	10.311	2.8128	-5.8242
4.81	0.056417	10.336	2.8128	-5.7153
4.82	0.065819	10.363	2.8128	-5.7153
4.83	0.075222	10.385	2.8128	-5.7153
4.84	0.084625	10.413	2.8128	-5.6064
4.85	0.094028	10.432	2.8128	-5.6064
4.86	0.10343	10.462	2.9007	-5.6064
4.87	0.11283	10.483	2.9007	-5.6064
4.88	0.12224	10.51	2.9007	-5.6064
4.89	0.13164	10.53	2.9007	-5.4975
4.9	0.14104	10.555	2.9007	-5.4975
4.91	0.15044	10.579	2.9886	-5.4975
4.92	0.15985	10.602	2.9886	-5.4975
4.93	0.16925	10.624	2.9886	-5.3886
4.94	0.17865	10.647	3.0765	-5.3886
4.95	0.18806	10.672	3.0765	-5.3886
4.96	0.19746	10.693	3.1644	-5.2797
4.97	0.20686	10.718	3.1644	-5.2797
4.98	0.21626	10.738	3.2523	-5.2797
4.99	0.22567	10.765	3.2523	-5.2797
5	0.23507	10.784	3.3402	-5.2797
5.01	0.22806	10.814	3.4281	-5.2797
5.02	0.22106	10.831	3.516	-5.2797
5.03	0.21405	10.859	3.516	-5.1708
5.04	0.20705	10.88	3.6039	-5.1708
5.05	0.20004	10.906	3.6918	-5.1708
5.06	0.19304	10.93	3.8676	-5.0619
5.07	0.18603	10.953	3.9555	-5.0619
5.08	0.17903	10.979	4.0434	-5.0619
5.09	0.17202	11.001	4.2192	-5.0619
5.1	0.16502	11.018	4.3071	-4.953
5.11	0.15801	11.041	4.395	-4.953
5.12	0.15101	11.064	4.5708	-4.953
5.13	0.144	11.086	4.6587	-4.953
5.14	0.137	11.1	4.8345	-4.953
5.15	0.12999	11.126	4.9224	-4.953
5.16	0.12299	11.146	5.0982	-4.953
5.17	0.11598	11.171	5.274	-4.8441
5.18	0.10898	11.186	5.4498	-4.8441
5.19	0.10197	11.21	5.6256	-4.7352
5.2	0.094968	11.227	5.8014	-4.7352
5.21	0.087963	11.255	5.9772	-4.7352
5.22	0.080958	11.271	6.0651	-4.7352
5.23	0.073953	11.285	6.2409	-4.7352
5.24	0.066948	11.307	6.4167	-4.7352
5.25	0.059943	11.32	6.5925	-4.7352
5.26	0.078489	11.346	6.7683	-4.6263
5.27	0.097035	11.361	6.9441	-4.6263
5.28	0.11558	11.382	7.032	-4.6263
5.29	0.13413	11.4	7.2078	-4.6263
5.3	0.15267	11.416	7.3836	-4.6263
5.31	0.17122	11.438	7.5594	-4.5174
5.32	0.18977	11.452	7.6473	-4.5174
5.33	0.20831	11.478	7.8231	-4.5174
5.34	0.22686	11.493	7.9989	-4.5174
5.35	0.24541	11.502	8.0868	-4.5174
5.36	0.26395	11.525	8.2626	-4.4085
5.37	0.2825	11.539	8.3505	-4.4085
5.38	0.30104	11.552	8.5263	-4.4085
5.39	0.31959	11.573	8.6142	-4.4085
5.4	0.33814	11.585	8.79	-4.4085
5.41	0.35668	11.592	8.8779	-4.2996
5.42	0.37523	11.615	9.0537	-4.2996
5.43	0.39378	11.628	9.1416	-4.2996
5.44	0.41232	11.636	9.3174	-4.2996
5.45	0.43087	11.648	9.4053	-4.2996
5.46	0.44941	11.666	9.5811	-4.1907
5.47	0.46796	11.676	9.669	-4.1907
5.48	0.48651	11.682	9.8448	-4.1907
5.49	0.50505	11.69	9.9327	-4.1907
5.5	0.5236	11.708	10.109	-4.1907
5.51	0.5236	11.719	10.284	-4.1907
5.52	0.5236	11.725	10.46	-4.0818
5.53	0.5236	11.729	10.636	-4.0818
5.54	0.5236	11.731	10.812	-4.0818
5.55	0.5236	11.733	10.988	-4.0818
5.56	0.5236	11.742	11.163	-4.0818
5.57	0.5236	11.757	11.427	-4.0818
5.58	0.5236	11.766	11.603	-3.9729
5.59	0.5236	11.771	11.867	-3.9729
5.6	0.5236	11.774	12.042	-3.9729
5.61	0.5236	11.776	12.306	-3.9729
5.62	0.5236	11.777	12.57	-3.864
5.63	0.5236	11.778	12.833	-3.864
5.64	0.5236	11.778	13.097	-3.864
5.65	0.5236	11.778	13.361	-3.864
5.66	0.5236	11.778	13.625	-3.864
5.67	0.5236	11.778	13.888	-3.864
5.68	0.5236	11.779	14.24	-3.7551
5.69	0.5236	11.779	14.504	-3.7551
5.7	0.5236	11.779	14.855	-3.7551
5.71	0.5236	11.779	15.207	-3.6462
5.72	0.5236	11.779	15.47	-3.6462
5.73	0.5236	11.77	15.822	-3.6462
5.74	0.5236	11.756	16.174	-3.6462
5.75	0.5236	11.747	16.525	-3.6462
5.76	0.5236	11.742	16.877	-3.6462
5.77	0.5236	11.739	17.228	-3.6462
5.78	0.5236	11.719	17.58	-3.6462
5.79	0.5236	11.708	17.932	-3.5373
5.8	0.5236	11.701	18.283	-3.5373
5.81	0.5236	11.688	18.635	-3.5373
5.82	0.5236	11.671	18.986	-3.4284
5.83	0.5236	11.661	19.426	-3.4284
5.84	0.5236	11.643	19.69	-3.4284
5.85	0.5236	11.627	20.041	-3.4284
5.86	0.5236	11.609	20.481	-3.4284
5.87	0.5236	11.588	20.744	-3.4284
5.88	0.5236	11.572	21.184	-3.4284
5.89	0.5236	11.548	21.448	-3.4284
5.9	0.5236	11.526	21.887	-3.4284
5.91	0.5236	11.504	22.151	-3.3195
5.92	0.5236	11.482	22.502	-3.3195
5.93	0.5236	11.459	22.854	-3.3195
5.94	0.5236	11.431	23.206	-3.3195
5.95	0.5236	11.407	23.557	-3.3195
5.96	0.5236	11.379	23.821	-3.2106
5.97	0.5236	11.345	24.173	-3.2106
5.98	0.5236	11.313	24.436	-3.2106
5.99	0.5236	11.283	24.788	-3.2106
6	0.5236	11.252	25.052	-3.2106
6.01	0.5236	11.216	25.315	-3.2106
6.02	0.5236	11.182	25.667	-3.2106
6.03	0.5236	11.148	25.931	-3.2106
6.04	0.5236	11.106	26.194	-3.2106
6.05	0.5236	11.067	26.37	-3.2106
6.06	0.5236	11.03	26.634	-3.2106
6.07	0.5236	10.986	26.897	-3.2106
6.08	0.5236	10.943	27.073	-3.1017
6.09	0.5236	10.899	27.337	-3.1017
6.1	0.5236	10.851	27.513	-3.1017
6.11	0.5236	10.805	27.776	-3.1017
6.12	0.5236	10.757	27.952	-3.1017
6.13	0.5236	10.71	28.128	-3.1017
6.14	0.5236	10.657	28.304	-3.1017
6.15	0.5236	10.604	28.48	-3.1017
6.16	0.5236	10.548	28.568	-3.1017
6.17	0.5236	10.493	28.743	-3.1017
6.18	0.5236	10.435	28.919	-3.1017
6.19	0.5236	10.376	29.007	-3.1017
6.2	0.5236	10.312	29.183	-3.1017
6.21	0.5236	10.253	29.271	-3.1017
6.22	0.5236	10.189	29.359	-3.1017
6.23	0.5236	10.126	29.447	-3.1017
6.24	0.5236	10.057	29.534	-3.1017
6.25	0.5236	9.9908	29.534	-3.1017
6.26	0.5236	9.9191	29.622	-3.1017
6.27	0.5236	9.8512	29.71	-3.1017
6.28	0.5236	9.7795	29.798	-3.2106
6.29	0.5236	9.7043	29.798	-3.2106
6.3	0.5236	9.6275	29.886	-3.2106
6.31	0.5236	9.5501	29.886	-3.2106
6.32	0.5236	9.4713	29.886	-3.2106
6.33	0.5236	9.392	29.974	-3.2106
6.34	0.5236	9.3135	29.974	-3.2106
6.35	0.5236	9.2268	29.974	-3.2106
6.36	0.5236	9.1396	29.974	-3.2106
6.37	0.5236	9.0565	29.974	-3.2106
6.38	0.5236	8.9671	29.974	-3.2106
6.39	0.5236	8.8783	29.974	-3.2106
6.4	0.5236	8.7866	29.974	-3.2106
6.41	0.5236	8.6925	29.974	-3.3195
6.42	0.5236	8.601	29.974	-3.3195
6.43	0.5236	8.5045	29.886	-3.3195
6.44	0.5236	8.4071	29.974	-3.3195
6.45	0.5236	8.3065	29.886	-3.3195
6.46	0.5236	8.2046	29.886	-3.3195
6.47	0.5236	8.1041	29.886	-3.3195
