t	u	lambda	p	e	uopt
0	0	0	0	-30	0
0.01	0	0	0	-30	0
0.02	0.005867	0	-0.0879	-30	0
0.03	0.0015475	0	-0.0879	-30	0
0.04	0.00013205	0	-0.0879	-30	0
0.05	-0.00033176	0	-0.0879	-30	0
0.06	-0.00048374	0	-0.0879	-30	0
0.07	-0.00053354	0	-0.0879	-30	0
0.08	-0.00054986	0	-0.0879	-30	0
0.09	0.022444	0.015114	-0.0879	-30	0
0.1	0.018334	0.026923	-0.0879	-30	0
0.11	0.014959	0.033896	-0.0879	-30	0
0.12	0.012193	0.038013	-0.0879	-30	0
0.13	0.033849	0.052355	-0.0879	-30	0
0.14	0.027727	0.066911	-0.0879	-30	0
0.15	0.022704	0.075506	-0.0879	-30	0
0.16	0.04251	0.092492	-0.0879	-30	0
0.17	0.034874	0.10861	-0.0879	-30	0
0.18	0.054488	0.12252	-0.0879	-30	0
0.19	0.044747	0.14434	-0.0879	-29.891	0
0.2	0.056194	0.15722	0	-29.891	0
0.21	0.050255	0.18283	0	-29.891	0
0.22	0.042725	0.19795	0	-29.891	0
0.23	0.05961	0.21879	0	-29.891	0
0.24	0.03982	0.23718	0.0879	-29.782	0
0.25	0.06291	0.25639	0.0879	-29.782	0
0.26	0.053666	0.27738	0.0879	-29.782	0
0.27	0.064008	0.29813	0.1758	-29.782	0
0.28	0.056435	0.32002	0.1758	-29.782	0
0.29	0.062429	0.34487	0.2637	-29.673	0
0.3	0.08314	0.37002	0.2637	-29.673	0
0.31	0.063266	0.39847	0.3516	-29.673	0
0.32	0.084245	0.41527	0.3516	-29.564	0
0.33	0.065698	0.44319	0.4395	-29.564	0
0.34	0.06964	0.47479	0.5274	-29.456	0
0.35	0.082136	0.50073	0.6153	-29.456	0
0.36	0.076135	0.52965	0.6153	-29.347	0
0.37	0.084333	0.55864	0.7032	-29.347	0
0.38	0.068837	0.58184	0.7911	-29.238	0
0.39	0.078148	0.61066	0.879	-29.129	0
0.4	0.086771	0.63891	0.9669	-29.129	0
0.41	0.074042	0.66524	1.0548	-29.02	0
0.42	0.080166	0.69269	1.1427	-28.911	0
0.43	0.097034	0.71499	1.2306	-28.911	0
0.44	0.07834	0.74616	1.3185	-28.802	0
0.45	0.090803	0.77968	1.4064	-28.693	0
0.46	0.10102	0.80675	1.4943	-28.584	0
0.47	0.070493	0.83634	1.6701	-28.475	0
0.48	0.08158	0.86892	1.758	-28.475	0
0.49	0.097023	0.89105	1.8459	-28.366	0
0.5	0.083634	0.92211	1.9338	-28.258	0
0.51	0.097824	0.9488	2.0217	-28.149	0
0.52	0.11167	0.97421	2.1096	-28.04	0
0.53	0.085495	1.0072	2.2854	-27.931	0
0.54	0.098544	1.0386	2.3733	-27.822	0
0.55	0.11432	1.0632	2.4612	-27.713	0
0.56	0.08146	1.0958	2.637	-27.604	0
0.57	0.097008	1.1269	2.7249	-27.386	0
0.58	0.11447	1.1514	2.8128	-27.277	0
0.59	0.08533	1.1838	2.9886	-27.169	0
0.6	0.10142	1.2113	3.0765	-27.06	0
0.61	0.089636	1.2372	3.1644	-26.951	0
0.62	0.10388	1.2644	3.2523	-26.842	0
0.63	0.076584	1.2866	3.4281	-26.624	0
0.64	0.09532	1.3148	3.516	-26.515	0
0.65	0.10887	1.3426	3.6039	-26.406	0
0.66	0.082496	1.3687	3.7797	-26.189	0
0.67	0.098618	1.3993	3.8676	-26.08	0
0.68	0.11914	1.4202	3.9555	-25.971	0
0.69	0.091667	1.4505	4.1313	-25.862	0
0.7	0.12036	1.4729	4.1313	-25.644	0
0.71	0.094467	1.4996	4.3071	-25.535	0
0.72	0.10708	1.5238	4.395	-25.317	0
0.73	0.12398	1.5477	4.4829	-25.208	0
0.74	0.095289	1.5798	4.6587	-24.991	0
0.75	0.084031	1.5988	4.7466	-24.882	0
0.76	0.099924	1.6251	4.8345	-24.773	0
0.77	0.11762	1.6435	4.9224	-24.555	0
0.78	0.10554	1.6724	5.0103	-24.446	0
0.79	0.094146	1.6895	5.0982	-24.228	0
0.8	0.1074	1.7146	5.1861	-24.119	0
0.81	0.09526	1.7324	5.274	-23.902	0
0.82	0.10837	1.758	5.3619	-23.793	0
0.83	0.12478	1.776	5.4498	-23.575	0
0.84	0.093956	1.8046	5.6256	-23.466	0
0.85	0.099747	1.8215	5.6256	-23.248	0
0.86	0.095943	1.8466	5.8014	-23.139	0
0.87	0.10142	1.8643	5.8014	-22.922	0
0.88	0.11264	1.8899	5.8893	-22.704	0
0.89	0.095554	1.9079	5.9772	-22.595	0
0.9	0.11162	1.9268	6.0651	-22.377	0
0.91	0.10917	1.9477	6.0651	-22.268	0
0.92	0.12314	1.96	6.153	-22.05	0
0.93	0.10776	1.9853	6.2409	-21.941	0
0.94	0.096534	2.0002	6.3288	-21.724	0
0.95	0.11926	2.0209	6.3288	-21.506	0
0.96	0.092363	2.0392	6.5046	-21.397	0
0.97	0.091952	2.05	6.5046	-21.179	0
0.98	0.10813	2.0683	6.5925	-21.07	0
0.99	0.10538	2.0852	6.5925	-20.852	0
1	0.11928	2.0996	6.6804	-20.635	0
1.01	0.11272	2.1217	6.6804	-20.526	0
1.02	0.098942	2.1347	6.7683	-20.308	0
1.03	0.11896	2.1576	6.7683	-20.199	0
1.04	0.10416	2.1739	6.8562	-19.981	0
1.05	0.10038	2.1836	6.8562	-19.872	0
1.06	0.11596	2.1893	6.9441	-19.654	0
1.07	0.11024	2.2106	6.9441	-19.437	0
1.08	0.095698	2.2233	7.032	-19.328	0
1.09	0.12041	2.2351	7.032	-19.11	0
1.1	0.11194	2.2557	7.032	-19.001	0
1.11	0.092056	2.2679	7.1199	-18.783	0
1.12	0.09372	2.275	7.1199	-18.674	0
1.13	0.1006	2.2876	7.2078	-18.457	0
1.14	0.10297	2.3047	7.2078	-18.239	0
1.15	0.099269	2.3148	7.2078	-18.13	0
1.16	0.094398	2.3208	7.2078	-17.912	0
1.17	0.099563	2.3326	7.2957	-17.803	0
1.18	0.11685	2.3493	7.2078	-17.585	0
1.19	0.093347	2.3591	7.2957	-17.477	0
1.2	0.092076	2.3649	7.2957	-17.368	0
1.21	0.11186	2.3835	7.2957	-17.15	0
1.22	0.10441	2.3973	7.2957	-16.932	0
