t	u	lambda	p
0	0	3.1416	0
0.25	0	3.1416	0
0.5	0	3.1416	0
0.75	0	3.1416	0
1	0	3.1416	0
1.25	0	3.1416	0
1.5	0	3.1416	0
1.75	0	3.1416	0
2	0	3.1416	0
2.25	0	3.1416	0
2.5	0	3.1416	0
2.75	0	3.1416	0
3	0	3.1416	0
3.25	0	3.1416	0
3.5	0	3.1416	0
3.75	0	3.1416	0
4	0	3.1416	0
4.25	0	3.1416	0
4.5	0	3.1416	0
4.75	0	3.1416	0
5	0.23507	3.1416	0
5.25	0.059943	3.1416	0
5.5	0.5236	3.1416	0.5236
5.75	0.5236	3.1416	0.5236
6	0.5236	3.1335	0.5236
6.25	0.5236	3.1174	0.5236
6.5	0.5236	3.0931	0.5236
6.75	0.5236	3.0608	0.5236
7	0.5236	3.0204	0.5236
7.25	0.5236	2.972	0.5236
7.5	0.5236	2.9155	0.5236
7.75	0.5236	2.8508	0.5236
8	0.5236	2.7782	0.5236
8.25	0.5236	2.6974	0.5236
8.5	0.5236	2.6086	0.5236
8.75	0.5236	2.5116	0.5236
9	0.5236	2.4067	0.5236
9.25	0.5236	2.2936	0.5236
9.5	0.5236	2.1724	0.5236
9.75	0.5236	2.0432	0.5236
10	0.15652	1.9059	0.5236
10.25	0.32694	1.7606	0.5236
10.5	-0.32033	1.6071	-0.29405
10.75	-0.5236	1.4456	-0.5236
11	-0.5236	1.2886	-0.5236
11.25	-0.5236	1.1397	-0.5236
11.5	-0.5236	0.99884	-0.5236
11.75	-0.5236	0.86608	-0.5236
12	-0.5236	0.74139	-0.5236
12.25	-0.5236	0.62478	-0.5236
12.5	-0.5236	0.51625	-0.5236
12.75	-0.5236	0.41579	-0.5236
13	-0.5236	0.32341	-0.5236
13.25	-0.5236	0.23911	-0.5236
13.5	-0.5236	0.16288	-0.5236
13.75	-0.5236	0.094734	-0.5236
14	-0.5236	0.034659	-0.5236
14.25	-0.5236	-0.017339	-0.5236
14.5	-0.5236	-0.061261	-0.5236
14.75	-0.5236	-0.097107	-0.5236
15	-0.52326	-0.12488	-0.5236
15.25	-0.46911	-0.14457	-0.5236
15.5	-0.42258	-0.15619	-0.52284
15.75	-0.32051	-0.15973	-0.40166
16	-0.17244	-0.1552	-0.20923
16.25	-0.060332	-0.14449	-0.077546
16.5	-0.0078601	-0.13054	-0.029182
16.75	0.020216	-0.1154	-0.0031702
17	0.051929	-0.099804	0.037689
17.25	0.082724	-0.084162	0.079361
17.5	0.099292	-0.069102	0.10045
17.75	0.10132	-0.055266	0.10257
18	0.097594	-0.042979	0.09944
18.25	0.093434	-0.032275	0.097473
18.5	0.088009	-0.023104	0.093864
18.75	0.079636	-0.015436	0.085787
19	0.069185	-0.009217	0.074807
19.25	0.058691	-0.0043207	0.063905
19.5	0.049133	-0.00057824	0.054162
19.75	0.040331	0.0021785	0.045031
20	0.032053	0.0040998	0.036159
20.25	0.024518	0.0053265	0.027952
20.5	0.018042	0.0059955	0.020899
20.75	0.012676	0.0062333	0.015049
21	0.008262	0.0061488	0.010177
21.25	0.0046618	0.0058321	0.0061333
21.5	0.0018191	0.0053585	0.0028982
21.75	-0.00031554	0.0047902	0.00044545
22	-0.0018392	0.0041773	-0.0013327
22.25	-0.0028713	0.0035574	-0.0025743
22.5	-0.0035124	0.0029582	-0.0033859
22.75	-0.003837	0.0023986	-0.0038405
23	-0.0039111	0.0018913	-0.0040064
23.25	-0.0037994	0.0014432	-0.0039564
23.5	-0.0035606	0.0010569	-0.0037568
23.75	-0.0032405	0.00073165	-0.0034581
24	-0.0028732	0.00046433	-0.0030972
24.25	-0.0024858	0.00025035	-0.0027046
24.5	-0.0020999	8.4141e-05	-0.0023057
24.75	-0.001732	-4.0351e-05	-0.0019201
25	-0.0013925	-0.00012928	-0.0015601
25.25	-0.0010875	-0.00018859	-0.001233
25.5	-0.00082014	-0.00022384	-0.00094301
25.75	-0.0005913	-0.00024007	-0.00069287
26	-0.00040003	-0.00024175	-0.00048298
26.25	-0.00024399	-0.00023275	-0.00031025
26.5	-0.00011986	-0.00021629	-0.00016955
26.75	-2.3907e-05	-0.00019505	-5.7835e-05
27	4.7761e-05	-0.0001712	2.4367e-05
27.25	9.9034e-05	-0.00014645	7.8978e-05
27.5	0.00013365	-0.00012208	0.00011716
27.75	0.00015508	-9.8933e-05	0.0001521
28	0.00016646	-7.7588e-05	0.00017991
28.25	0.00017052	-5.8589e-05	0.00017946
28.5	0.00016954	-4.2365e-05	0.00014961
28.75	0.00016532	-2.891e-05	0.00013732
29	0.00015935	-1.7761e-05	0.00018484
29.25	0.00015283	-8.7314e-06	0.0002351
29.5	0.00014655	-2.5524e-06	0.0001655
29.75	0	2.8965e-10	1.5166e-11
30	0	0	0
30.25	0	0	0
30.5	0	0	0
30.75	0	0	0
31	0	0	0
31.25	0	0	0
31.5	0	0	0
31.75	0	0	0
32	0	0	0
32.25	0	0	0
32.5	0	0	0
32.75	0	0	0
33	0	0	0
33.25	0	0	0
33.5	0	0	0
33.75	0	0	0
34	0	0	0
34.25	0	0	0
34.5	0	0	0
34.75	0	0	0
35	0	0	0
